Year,Month,City,Manufacturer,Vehicle Model,Units Sold,Speed (km/h),Range (km/charge),Price (INR)
2018,Jan,Chennai,Ather,iQube,628,76,68,130333
2018,Jan,Chennai,Ola Electric,450X,3932,59,75,100819
2018,Jan,Chennai,Ola Electric,S1 Pro,3783,62,123,67811
2018,Jan,Chennai,Ola Electric,Photon HX,3777,64,127,128632
2018,Jan,Chennai,Ola Electric,Chetak,3613,68,92,50085
2018,Jan,Chennai,Ola Electric,iQube,2471,58,93,81177
2018,Jan,Chennai,Hero Electric,450X,1696,98,83,92731
2018,Jan,Chennai,Hero Electric,S1 Pro,2753,43,99,63922
2018,Jan,Chennai,Hero Electric,Photon HX,3278,87,108,59767
2018,Jan,Chennai,Hero Electric,Chetak,2394,46,71,80759
2018,Jan,Chennai,Hero Electric,iQube,1965,87,123,131762
2018,Jan,Chennai,Bajaj,450X,4588,66,61,97792
2018,Jan,Chennai,Bajaj,S1 Pro,736,40,94,60576
2018,Jan,Chennai,Bajaj,Photon HX,3146,91,119,69897
2018,Jan,Chennai,Bajaj,Chetak,2149,79,91,97189
2018,Jan,Chennai,Bajaj,iQube,4725,44,118,67725
2018,Jan,Chennai,TVS,450X,402,88,108,51995
2018,Jan,Chennai,TVS,S1 Pro,4905,57,58,66415
2018,Jan,Chennai,TVS,Photon HX,4447,70,71,132566
2018,Jan,Chennai,TVS,Chetak,215,77,123,47827
2018,Jan,Chennai,TVS,iQube,1829,71,127,97373
2018,Jan,Kolkata,Ather,450X,3333,78,77,72077
2018,Jan,Kolkata,Ather,S1 Pro,1307,45,90,134327
2018,Jan,Kolkata,Ather,Photon HX,3557,75,84,144746
2018,Jan,Kolkata,Ather,Chetak,1996,74,112,69739
2018,Jan,Kolkata,Ather,iQube,827,50,121,107165
2018,Jan,Kolkata,Ola Electric,450X,2795,79,103,102151
2018,Jan,Kolkata,Ola Electric,S1 Pro,619,98,110,96455
2018,Jan,Kolkata,Ola Electric,Photon HX,1441,66,82,46069
2018,Jan,Kolkata,Ola Electric,Chetak,622,75,87,106650
2018,Jan,Kolkata,Ola Electric,iQube,883,48,119,107484
2018,Jan,Kolkata,Hero Electric,450X,2149,57,115,140493
2018,Jan,Kolkata,Hero Electric,S1 Pro,4026,45,120,102149
2018,Jan,Kolkata,Hero Electric,Photon HX,3600,40,80,64272
2018,Jan,Kolkata,Hero Electric,Chetak,4204,69,60,117939
2018,Jan,Kolkata,Hero Electric,iQube,1527,80,90,134394
2018,Jan,Kolkata,Bajaj,450X,3979,54,126,96599
2018,Jan,Kolkata,Bajaj,S1 Pro,929,83,108,81337
2018,Jan,Kolkata,Bajaj,Photon HX,3132,67,82,119195
2018,Jan,Kolkata,Bajaj,Chetak,3384,79,76,128382
2018,Jan,Kolkata,Bajaj,iQube,3675,71,83,103385
2018,Jan,Kolkata,TVS,450X,3489,69,115,109139
2018,Jan,Kolkata,TVS,S1 Pro,1601,46,98,130498
2018,Jan,Kolkata,TVS,Photon HX,2269,93,77,125594
2018,Jan,Kolkata,TVS,Chetak,4886,100,79,107943
2018,Jan,Kolkata,TVS,iQube,1443,92,87,56071
2018,Feb,Mumbai,Ather,450X,3131,93,72,114358
2018,Feb,Mumbai,Ather,S1 Pro,2061,89,68,48393
2018,Feb,Mumbai,Ather,Photon HX,4430,44,113,52157
2018,Feb,Mumbai,Ather,Chetak,250,83,87,114143
2018,Feb,Mumbai,Ather,iQube,2370,74,125,135600
2018,Feb,Mumbai,Ola Electric,450X,4879,67,113,76806
2018,Feb,Mumbai,Ola Electric,S1 Pro,1361,42,89,67412
2018,Feb,Mumbai,Ola Electric,Photon HX,3130,77,70,64298
2018,Feb,Mumbai,Ola Electric,Chetak,3548,89,112,147672
2018,Feb,Mumbai,Ola Electric,iQube,2934,93,111,75619
2018,Feb,Mumbai,Hero Electric,450X,2199,41,69,102950
2018,Feb,Mumbai,Hero Electric,S1 Pro,4979,58,115,50524
2018,Feb,Mumbai,Hero Electric,Photon HX,1375,52,55,62733
2018,Feb,Mumbai,Hero Electric,Chetak,591,80,104,106079
2018,Feb,Mumbai,Hero Electric,iQube,4775,43,119,71623
2018,Feb,Mumbai,Bajaj,450X,4931,43,107,61740
2018,Feb,Mumbai,Bajaj,S1 Pro,2876,92,120,104304
2018,Feb,Mumbai,Bajaj,Photon HX,4443,57,67,105088
2018,Feb,Mumbai,Bajaj,Chetak,2175,67,89,144880
2018,Feb,Mumbai,Bajaj,iQube,1167,59,72,98189
2018,Feb,Mumbai,TVS,450X,132,84,100,126434
2018,Feb,Mumbai,TVS,S1 Pro,1516,60,92,125444
2018,Feb,Mumbai,TVS,Photon HX,2066,82,71,145619
2018,Feb,Mumbai,TVS,Chetak,3692,67,117,118699
2018,Feb,Mumbai,TVS,iQube,2765,54,103,144134
2018,Feb,Delhi,Ather,450X,4377,100,106,98470
2018,Feb,Delhi,Ather,S1 Pro,4766,98,66,134645
2018,Feb,Delhi,Ather,Photon HX,2996,91,66,57385
2018,Feb,Delhi,Ather,Chetak,559,54,74,143908
2018,Feb,Delhi,Ather,iQube,520,49,91,97892
2018,Feb,Delhi,Ola Electric,450X,2594,84,88,110618
2018,Feb,Delhi,Ola Electric,S1 Pro,3238,42,127,138967
2018,Feb,Delhi,Ola Electric,Photon HX,3059,49,80,78387
2018,Feb,Delhi,Ola Electric,Chetak,2823,83,87,115741
2018,Feb,Delhi,Ola Electric,iQube,1376,62,59,136308
2018,Feb,Delhi,Hero Electric,450X,634,53,109,130948
2018,Feb,Delhi,Hero Electric,S1 Pro,2053,83,59,120255
2018,Feb,Delhi,Hero Electric,Photon HX,1937,51,80,102969
2018,Feb,Delhi,Hero Electric,Chetak,1369,90,86,48364
2018,Feb,Delhi,Hero Electric,iQube,4193,89,108,147792
2018,Feb,Delhi,Bajaj,450X,3681,73,98,108495
2018,Feb,Delhi,Bajaj,S1 Pro,2618,43,122,86983
2018,Feb,Delhi,Bajaj,Photon HX,1633,77,92,58891
2018,Feb,Delhi,Bajaj,Chetak,3630,62,99,97959
2018,Feb,Delhi,Bajaj,iQube,1093,45,87,71508
2018,Feb,Delhi,TVS,450X,4972,79,69,118050
2018,Feb,Delhi,TVS,S1 Pro,4065,49,116,69070
2018,Feb,Delhi,TVS,Photon HX,1128,80,97,79549
2018,Feb,Delhi,TVS,Chetak,988,86,100,133268
2018,Feb,Delhi,TVS,iQube,439,83,118,126816
2018,Feb,Bangalore,Ather,450X,2900,85,84,121392
2018,Feb,Bangalore,Ather,S1 Pro,3466,89,82,122366
2018,Feb,Bangalore,Ather,Photon HX,4273,44,57,141843
2018,Feb,Bangalore,Ather,Chetak,3794,93,64,103578
2018,Feb,Bangalore,Ather,iQube,493,89,127,101109
2018,Feb,Bangalore,Ola Electric,450X,2054,55,73,85615
2018,Feb,Bangalore,Ola Electric,S1 Pro,4060,62,94,57744
2018,Feb,Bangalore,Ola Electric,Photon HX,2560,100,55,142946
2018,Feb,Bangalore,Ola Electric,Chetak,4053,92,122,112189
2018,Feb,Bangalore,Ola Electric,iQube,2291,89,77,59427
2018,Feb,Bangalore,Hero Electric,450X,2924,93,106,96852
2018,Feb,Bangalore,Hero Electric,S1 Pro,2364,55,80,50606
2018,Feb,Bangalore,Hero Electric,Photon HX,4710,95,78,142256
2018,Feb,Bangalore,Hero Electric,Chetak,3134,64,115,58056
2018,Feb,Bangalore,Hero Electric,iQube,821,93,56,61281
2018,Feb,Bangalore,Bajaj,450X,2383,40,99,88795
2018,Feb,Bangalore,Bajaj,S1 Pro,2663,85,110,67710
2018,Feb,Bangalore,Bajaj,Photon HX,2500,54,83,127439
2018,Feb,Bangalore,Bajaj,Chetak,4063,64,64,115873
2018,Feb,Bangalore,Bajaj,iQube,606,70,103,126626
2018,Feb,Bangalore,TVS,450X,645,49,116,59066
2018,Feb,Bangalore,TVS,S1 Pro,3216,96,108,108270
2018,Feb,Bangalore,TVS,Photon HX,269,96,96,135407
2018,Feb,Bangalore,TVS,Chetak,4970,68,98,95280
2018,Feb,Bangalore,TVS,iQube,3511,58,120,135364
2018,Feb,Chennai,Ather,450X,3410,70,98,144749
2018,Feb,Chennai,Ather,S1 Pro,1959,75,87,102763
2018,Feb,Chennai,Ather,Photon HX,1928,44,116,110347
2018,Feb,Chennai,Ather,Chetak,3943,84,65,70264
2018,Feb,Chennai,Ather,iQube,3287,44,98,59496
2018,Feb,Chennai,Ola Electric,450X,831,73,104,109464
2018,Feb,Chennai,Ola Electric,S1 Pro,3285,50,78,65829
2018,Feb,Chennai,Ola Electric,Photon HX,3278,73,55,125879
2018,Feb,Chennai,Ola Electric,Chetak,906,75,75,84190
2018,Feb,Chennai,Ola Electric,iQube,3771,45,98,96846
2018,Feb,Chennai,Hero Electric,450X,435,58,103,114095
2018,Feb,Chennai,Hero Electric,S1 Pro,1022,87,102,148106
2018,Feb,Chennai,Hero Electric,Photon HX,709,95,64,75840
2018,Feb,Chennai,Hero Electric,Chetak,2404,75,115,148630
2018,Feb,Chennai,Hero Electric,iQube,1446,57,106,146500
2018,Feb,Chennai,Bajaj,450X,4980,85,120,127812
2018,Feb,Chennai,Bajaj,S1 Pro,1310,71,70,81379
2018,Feb,Chennai,Bajaj,Photon HX,2922,48,74,118977
2018,Feb,Chennai,Bajaj,Chetak,998,53,62,123543
2018,Feb,Chennai,Bajaj,iQube,3197,63,74,130307
2018,Feb,Chennai,TVS,450X,4606,77,59,124668
2018,Feb,Chennai,TVS,S1 Pro,4989,74,100,127845
2018,Feb,Chennai,TVS,Photon HX,854,88,97,146215
2018,Feb,Chennai,TVS,Chetak,3705,46,118,53407
2018,Feb,Chennai,TVS,iQube,1161,59,69,54733
2018,Feb,Kolkata,Ather,450X,168,93,105,46884
2018,Feb,Kolkata,Ather,S1 Pro,1021,94,108,78199
2018,Feb,Kolkata,Ather,Photon HX,138,82,88,68316
2018,Feb,Kolkata,Ather,Chetak,2582,85,68,99071
2018,Feb,Kolkata,Ather,iQube,3409,74,118,54662
2018,Feb,Kolkata,Ola Electric,450X,3574,76,81,88762
2018,Feb,Kolkata,Ola Electric,S1 Pro,2000,95,100,113843
2018,Feb,Kolkata,Ola Electric,Photon HX,2029,73,91,122317
2018,Feb,Kolkata,Ola Electric,Chetak,388,88,87,65259
2018,Feb,Kolkata,Ola Electric,iQube,3736,91,86,131223
2018,Feb,Kolkata,Hero Electric,450X,885,98,112,117230
2018,Feb,Kolkata,Hero Electric,S1 Pro,2889,73,93,52257
2018,Feb,Kolkata,Hero Electric,Photon HX,4069,64,75,129589
2018,Feb,Kolkata,Hero Electric,Chetak,3208,84,71,119588
2018,Feb,Kolkata,Hero Electric,iQube,1778,91,89,48847
2018,Feb,Kolkata,Bajaj,450X,4381,45,99,86288
2018,Feb,Kolkata,Bajaj,S1 Pro,180,65,73,67632
2018,Feb,Kolkata,Bajaj,Photon HX,853,40,104,126311
2018,Feb,Kolkata,Bajaj,Chetak,1958,55,64,65105
2018,Feb,Kolkata,Bajaj,iQube,189,40,57,121247
2018,Feb,Kolkata,TVS,450X,288,68,70,102020
2018,Feb,Kolkata,TVS,S1 Pro,1499,70,75,70764
2018,Feb,Kolkata,TVS,Photon HX,526,50,74,97348
2018,Feb,Kolkata,TVS,Chetak,2519,89,72,60767
2018,Feb,Kolkata,TVS,iQube,3111,98,127,63025
2018,Mar,Mumbai,Ather,450X,654,93,108,92704
2018,Mar,Mumbai,Ather,S1 Pro,3571,64,66,78434
2018,Mar,Mumbai,Ather,Photon HX,4619,85,80,83546
2018,Mar,Mumbai,Ather,Chetak,1790,60,86,136701
2018,Mar,Mumbai,Ather,iQube,3536,87,81,68863
2018,Mar,Mumbai,Ola Electric,450X,1580,86,87,69077
2018,Mar,Mumbai,Ola Electric,S1 Pro,2502,58,78,57990
2018,Mar,Mumbai,Ola Electric,Photon HX,1781,49,108,101736
2018,Mar,Mumbai,Ola Electric,Chetak,595,43,87,49097
2018,Mar,Mumbai,Ola Electric,iQube,3243,70,60,52144
2018,Mar,Mumbai,Hero Electric,450X,1308,95,86,63989
2018,Mar,Mumbai,Hero Electric,S1 Pro,1683,81,66,115147
2018,Mar,Mumbai,Hero Electric,Photon HX,977,77,67,103578
2018,Mar,Mumbai,Hero Electric,Chetak,1860,69,126,49048
2018,Mar,Mumbai,Hero Electric,iQube,3705,91,62,142338
2018,Mar,Mumbai,Bajaj,450X,1885,76,61,131583
2018,Mar,Mumbai,Bajaj,S1 Pro,1199,89,116,114066
2018,Mar,Mumbai,Bajaj,Photon HX,1566,54,78,70034
2018,Mar,Mumbai,Bajaj,Chetak,368,93,72,93783
2018,Mar,Mumbai,Bajaj,iQube,2883,86,121,65154
2018,Mar,Mumbai,TVS,450X,1676,73,95,129762
2018,Mar,Mumbai,TVS,S1 Pro,197,89,91,71549
2018,Mar,Mumbai,TVS,Photon HX,2692,47,89,107309
2018,Mar,Mumbai,TVS,Chetak,1639,97,76,121363
2018,Mar,Mumbai,TVS,iQube,209,91,93,99530
2018,Mar,Delhi,Ather,450X,4583,96,78,88385
2018,Mar,Delhi,Ather,S1 Pro,4970,47,119,109835
2018,Mar,Delhi,Ather,Photon HX,2750,46,86,94955
2018,Mar,Delhi,Ather,Chetak,3752,91,100,148205
2018,Mar,Delhi,Ather,iQube,2209,61,119,139517
2018,Mar,Delhi,Ola Electric,450X,4573,53,108,65736
2018,Mar,Delhi,Ola Electric,S1 Pro,3700,75,86,64467
2018,Mar,Delhi,Ola Electric,Photon HX,2223,40,109,104770
2018,Mar,Delhi,Ola Electric,Chetak,1209,67,106,55185
2018,Mar,Delhi,Ola Electric,iQube,132,67,65,76521
2018,Mar,Delhi,Hero Electric,450X,1077,49,81,56671
2018,Mar,Delhi,Hero Electric,S1 Pro,551,55,83,125299
2018,Mar,Delhi,Hero Electric,Photon HX,3322,69,84,136827
2018,Mar,Delhi,Hero Electric,Chetak,694,96,88,51790
2018,Mar,Delhi,Hero Electric,iQube,2931,46,90,145262
2018,Mar,Delhi,Bajaj,450X,4010,77,96,78537
2018,Mar,Delhi,Bajaj,S1 Pro,1920,52,102,52651
2018,Mar,Delhi,Bajaj,Photon HX,1073,76,72,126293
2018,Mar,Delhi,Bajaj,Chetak,4585,51,104,57499
2018,Mar,Delhi,Bajaj,iQube,2854,98,98,104342
2018,Mar,Delhi,TVS,450X,3235,96,108,79076
2018,Mar,Delhi,TVS,S1 Pro,2216,85,110,121458
2018,Mar,Delhi,TVS,Photon HX,4736,76,97,127276
2018,Mar,Delhi,TVS,Chetak,3463,97,63,84359
2018,Mar,Delhi,TVS,iQube,2999,80,110,88431
2018,Mar,Bangalore,Ather,450X,1206,94,107,93305
2018,Mar,Bangalore,Ather,S1 Pro,3080,61,87,78224
2018,Mar,Bangalore,Ather,Photon HX,4937,89,102,147223
2018,Mar,Bangalore,Ather,Chetak,2221,96,115,70316
2018,Mar,Bangalore,Ather,iQube,2039,75,103,74679
2018,Mar,Bangalore,Ola Electric,450X,1474,98,76,75080
2018,Mar,Bangalore,Ola Electric,S1 Pro,4049,49,102,80864
2018,Mar,Bangalore,Ola Electric,Photon HX,165,78,86,47657
2018,Mar,Bangalore,Ola Electric,Chetak,2698,89,78,141445
2018,Mar,Bangalore,Ola Electric,iQube,2342,59,72,127334
2018,Mar,Bangalore,Hero Electric,450X,3052,61,88,74614
2018,Mar,Bangalore,Hero Electric,S1 Pro,3287,67,105,50278
2018,Mar,Bangalore,Hero Electric,Photon HX,4901,89,79,101666
2018,Mar,Bangalore,Hero Electric,Chetak,1613,90,119,78027
2018,Mar,Bangalore,Hero Electric,iQube,3392,77,107,148556
2018,Mar,Bangalore,Bajaj,450X,935,85,86,147896
2018,Mar,Bangalore,Bajaj,S1 Pro,2985,44,114,95255
2018,Mar,Bangalore,Bajaj,Photon HX,4130,75,80,73422
2018,Mar,Bangalore,Bajaj,Chetak,1617,65,91,50630
2018,Mar,Bangalore,Bajaj,iQube,4780,52,75,100602
2018,Mar,Bangalore,TVS,450X,3691,63,93,66999
2018,Mar,Bangalore,TVS,S1 Pro,4275,48,106,71672
2018,Mar,Bangalore,TVS,Photon HX,4570,83,125,75368
2018,Mar,Bangalore,TVS,Chetak,3258,74,93,97450
2018,Mar,Bangalore,TVS,iQube,1848,71,67,46628
2018,Mar,Chennai,Ather,450X,1812,86,78,89803
2018,Mar,Chennai,Ather,S1 Pro,3005,61,59,122093
2018,Mar,Chennai,Ather,Photon HX,4567,91,123,48490
2018,Mar,Chennai,Ather,Chetak,3950,48,111,85780
2018,Mar,Chennai,Ather,iQube,4978,53,122,107460
2018,Mar,Chennai,Ola Electric,450X,2756,51,104,117876
2018,Mar,Chennai,Ola Electric,S1 Pro,4306,89,68,58846
2018,Mar,Chennai,Ola Electric,Photon HX,850,85,82,66679
2018,Mar,Chennai,Ola Electric,Chetak,2646,92,126,127267
2018,Mar,Chennai,Ola Electric,iQube,1137,75,73,142532
2018,Mar,Chennai,Hero Electric,450X,1334,54,102,71297
2018,Mar,Chennai,Hero Electric,S1 Pro,695,55,125,120654
2018,Mar,Chennai,Hero Electric,Photon HX,2079,54,62,121391
2018,Mar,Chennai,Hero Electric,Chetak,2300,84,57,86576
2018,Mar,Chennai,Hero Electric,iQube,4367,87,81,122232
2018,Mar,Chennai,Bajaj,450X,4837,65,87,88496
2018,Mar,Chennai,Bajaj,S1 Pro,1983,65,99,126250
2018,Mar,Chennai,Bajaj,Photon HX,162,80,97,57960
2018,Mar,Chennai,Bajaj,Chetak,1612,79,66,56810
2018,Mar,Chennai,Bajaj,iQube,2384,73,100,61532
2018,Mar,Chennai,TVS,450X,4172,60,86,102700
2018,Mar,Chennai,TVS,S1 Pro,3884,78,56,74788
2018,Mar,Chennai,TVS,Photon HX,3691,53,73,47197
2018,Mar,Chennai,TVS,Chetak,3001,56,68,54245
2018,Mar,Chennai,TVS,iQube,434,79,95,112758
2018,Mar,Kolkata,Ather,450X,3165,54,81,149952
2018,Mar,Kolkata,Ather,S1 Pro,3925,54,58,77040
2018,Mar,Kolkata,Ather,Photon HX,2895,47,123,57744
2018,Mar,Kolkata,Ather,Chetak,3855,98,55,99784
2018,Mar,Kolkata,Ather,iQube,3274,56,103,89943
2018,Mar,Kolkata,Ola Electric,450X,2977,58,60,105097
2018,Mar,Kolkata,Ola Electric,S1 Pro,2388,58,81,105727
2018,Mar,Kolkata,Ola Electric,Photon HX,3818,75,58,103213
2018,Mar,Kolkata,Ola Electric,Chetak,847,65,117,85934
2018,Mar,Kolkata,Ola Electric,iQube,1299,76,123,101766
2018,Mar,Kolkata,Hero Electric,450X,4770,69,59,110580
2018,Mar,Kolkata,Hero Electric,S1 Pro,1788,91,79,141811
2018,Mar,Kolkata,Hero Electric,Photon HX,2659,56,86,50758
2018,Mar,Kolkata,Hero Electric,Chetak,4149,90,64,76087
2018,Mar,Kolkata,Hero Electric,iQube,791,65,73,148443
2018,Mar,Kolkata,Bajaj,450X,2830,74,84,101152
2018,Mar,Kolkata,Bajaj,S1 Pro,1799,100,74,57701
2018,Mar,Kolkata,Bajaj,Photon HX,4212,51,117,110852
2018,Mar,Kolkata,Bajaj,Chetak,2188,74,72,140442
2018,Mar,Kolkata,Bajaj,iQube,2616,50,84,48564
2018,Mar,Kolkata,TVS,450X,4748,88,89,140285
2018,Mar,Kolkata,TVS,S1 Pro,940,80,105,58152
2018,Mar,Kolkata,TVS,Photon HX,1943,64,69,99962
2018,Mar,Kolkata,TVS,Chetak,4859,69,84,106788
2018,Mar,Kolkata,TVS,iQube,3862,84,115,138337
2018,Apr,Mumbai,Ather,450X,3771,84,119,138243
2018,Apr,Mumbai,Ather,S1 Pro,4281,45,112,45687
2018,Apr,Mumbai,Ather,Photon HX,3062,58,126,91810
2018,Apr,Mumbai,Ather,Chetak,1145,69,105,118178
2018,Apr,Mumbai,Ather,iQube,1940,48,120,116385
2018,Apr,Mumbai,Ola Electric,450X,4493,59,117,103946
2018,Apr,Mumbai,Ola Electric,S1 Pro,3309,84,88,131034
2018,Apr,Mumbai,Ola Electric,Photon HX,905,71,104,83819
2018,Apr,Mumbai,Ola Electric,Chetak,1177,40,107,134085
2018,Apr,Mumbai,Ola Electric,iQube,105,46,77,46495
2018,Apr,Mumbai,Hero Electric,450X,4429,60,64,118467
2018,Apr,Mumbai,Hero Electric,S1 Pro,4394,66,111,102159
2018,Apr,Mumbai,Hero Electric,Photon HX,2192,68,73,88978
2018,Apr,Mumbai,Hero Electric,Chetak,3121,93,95,60647
2018,Apr,Mumbai,Hero Electric,iQube,4520,70,110,113454
2018,Apr,Mumbai,Bajaj,450X,1976,92,67,137415
2018,Apr,Mumbai,Bajaj,S1 Pro,1710,41,122,85593
2018,Apr,Mumbai,Bajaj,Photon HX,2446,78,70,59828
2018,Apr,Mumbai,Bajaj,Chetak,2527,93,108,95095
2018,Apr,Mumbai,Bajaj,iQube,251,55,97,63084
2018,Apr,Mumbai,TVS,450X,2676,63,66,148636
2018,Apr,Mumbai,TVS,S1 Pro,2387,50,79,67774
2018,Apr,Mumbai,TVS,Photon HX,1282,59,75,126875
2018,Apr,Mumbai,TVS,Chetak,1833,40,75,149302
2018,Apr,Mumbai,TVS,iQube,4616,68,79,141565
2018,Apr,Delhi,Ather,450X,3701,74,55,105453
2018,Apr,Delhi,Ather,S1 Pro,2751,80,71,46452
2018,Apr,Delhi,Ather,Photon HX,4375,41,111,51458
2018,Apr,Delhi,Ather,Chetak,338,55,83,109665
2018,Apr,Delhi,Ather,iQube,3507,54,63,138316
2018,Apr,Delhi,Ola Electric,450X,4039,97,86,62296
2018,Apr,Delhi,Ola Electric,S1 Pro,1320,74,69,133214
2018,Apr,Delhi,Ola Electric,Photon HX,2305,44,58,148437
2018,Apr,Delhi,Ola Electric,Chetak,3522,43,125,128545
2018,Apr,Delhi,Ola Electric,iQube,4375,50,106,73130
2018,Apr,Delhi,Hero Electric,450X,588,51,55,58659
2018,Apr,Delhi,Hero Electric,S1 Pro,437,73,121,123487
2018,Apr,Delhi,Hero Electric,Photon HX,909,83,58,108552
2018,Apr,Delhi,Hero Electric,Chetak,3262,49,76,90004
2018,Apr,Delhi,Hero Electric,iQube,3723,42,100,57382
2018,Apr,Delhi,Bajaj,450X,1400,91,76,62963
2018,Apr,Delhi,Bajaj,S1 Pro,4310,94,118,68958
2018,Apr,Delhi,Bajaj,Photon HX,2354,90,92,115825
2018,Apr,Delhi,Bajaj,Chetak,738,68,110,45292
2018,Apr,Delhi,Bajaj,iQube,3402,74,58,82373
