Year,Month,City,Manufacturer,Vehicle Model,Units Sold
2010,Jan,Mumbai,Yamaha,Splendor Plus,1952
2010,Jan,Mumbai,Yamaha,Activa 6G,662
2010,Jan,Mumbai,Yamaha,Pulsar 150,1841
2010,Jan,Mumbai,Yamaha,Apache RTR 160,1262
2010,Jan,Mumbai,Yamaha,Classic 350,1565
2010,Jan,Mumbai,Yamaha,Gixxer SF,1062
2010,Jan,Mumbai,Yamaha,FZ-S,647
2010,Jan,Delhi,Hero,Splendor Plus,1869
2010,Jan,Delhi,Hero,Activa 6G,1556
2010,Jan,Delhi,Hero,Pulsar 150,774
2010,Jan,Delhi,Hero,Apache RTR 160,1111
2010,Jan,Delhi,Hero,Classic 350,1345
2010,Jan,Delhi,Hero,Gixxer SF,1398
2010,Jan,Delhi,Hero,FZ-S,813
2010,Jan,Delhi,Honda,Splendor Plus,1320
2010,Jan,Delhi,Honda,Activa 6G,601
2010,Jan,Delhi,Honda,Pulsar 150,547
2010,Jan,Delhi,Honda,Apache RTR 160,1066
2010,Jan,Delhi,Honda,Classic 350,1350
2010,Jan,Delhi,Honda,Gixxer SF,1506
2010,Jan,Delhi,Honda,FZ-S,1659
2010,Jan,Delhi,Bajaj,Splendor Plus,1421
2010,Jan,Delhi,Bajaj,Activa 6G,1733
2010,Jan,Delhi,Bajaj,Pulsar 150,1326
2010,Jan,Delhi,Bajaj,Apache RTR 160,1392
2010,Jan,Delhi,Bajaj,Classic 350,1050
2010,Jan,Delhi,Bajaj,Gixxer SF,503
2010,Jan,Delhi,Bajaj,FZ-S,1635
2010,Jan,Delhi,TVS,Splendor Plus,1660
2010,Jan,Delhi,TVS,Activa 6G,651
2010,Jan,Delhi,TVS,Pulsar 150,582
2010,Jan,Delhi,TVS,Apache RTR 160,1988
2010,Jan,Delhi,TVS,Classic 350,1316
2010,Jan,Delhi,TVS,Gixxer SF,1608
2010,Jan,Delhi,TVS,FZ-S,755
2010,Jan,Delhi,Royal Enfield,Splendor Plus,1869
2010,Jan,Delhi,Royal Enfield,Activa 6G,1267
2010,Jan,Delhi,Royal Enfield,Pulsar 150,1820
2010,Jan,Delhi,Royal Enfield,Apache RTR 160,651
2010,Jan,Delhi,Royal Enfield,Classic 350,732
2010,Jan,Delhi,Royal Enfield,Gixxer SF,584
2010,Jan,Delhi,Royal Enfield,FZ-S,1168
2010,Jan,Delhi,Suzuki,Splendor Plus,1439
2010,Jan,Delhi,Suzuki,Activa 6G,1831
2010,Jan,Delhi,Suzuki,Pulsar 150,1715
2010,Jan,Delhi,Suzuki,Apache RTR 160,1421
2010,Jan,Delhi,Suzuki,Classic 350,735
2010,Jan,Delhi,Suzuki,Gixxer SF,922
2010,Jan,Delhi,Suzuki,FZ-S,672
2010,Jan,Delhi,Yamaha,Splendor Plus,772
2010,Jan,Delhi,Yamaha,Activa 6G,1078
2010,Jan,Delhi,Yamaha,Pulsar 150,1372
2010,Jan,Delhi,Yamaha,Apache RTR 160,516
2010,Jan,Delhi,Yamaha,Classic 350,1489
2010,Jan,Delhi,Yamaha,Gixxer SF,638
2010,Jan,Delhi,Yamaha,FZ-S,794
2010,Jan,Bangalore,Hero,Splendor Plus,1241
2010,Jan,Bangalore,Hero,Activa 6G,636
2010,Jan,Bangalore,Hero,Pulsar 150,540
2010,Jan,Bangalore,Hero,Apache RTR 160,1514
2010,Jan,Bangalore,Hero,Classic 350,914
2010,Jan,Bangalore,Hero,Gixxer SF,1616
2010,Jan,Bangalore,Hero,FZ-S,703
2010,Jan,Bangalore,Honda,Splendor Plus,890
2010,Jan,Bangalore,Honda,Activa 6G,801
2010,Jan,Bangalore,Honda,Pulsar 150,1468
2010,Jan,Bangalore,Honda,Apache RTR 160,971
2010,Jan,Bangalore,Honda,Classic 350,653
2010,Jan,Bangalore,Honda,Gixxer SF,999
2010,Jan,Bangalore,Honda,FZ-S,1257
2010,Jan,Bangalore,Bajaj,Splendor Plus,1993
2010,Jan,Bangalore,Bajaj,Activa 6G,1920
2010,Jan,Bangalore,Bajaj,Pulsar 150,1896
2010,Jan,Bangalore,Bajaj,Apache RTR 160,1278
2010,Jan,Bangalore,Bajaj,Classic 350,1921
2010,Jan,Bangalore,Bajaj,Gixxer SF,830
2010,Jan,Bangalore,Bajaj,FZ-S,1806
2010,Jan,Bangalore,TVS,Splendor Plus,1911
2010,Jan,Bangalore,TVS,Activa 6G,1349
2010,Jan,Bangalore,TVS,Pulsar 150,1506
2010,Jan,Bangalore,TVS,Apache RTR 160,836
2010,Jan,Bangalore,TVS,Classic 350,683
2010,Jan,Bangalore,TVS,Gixxer SF,1004
2010,Jan,Bangalore,TVS,FZ-S,1566
2010,Jan,Bangalore,Royal Enfield,Splendor Plus,1868
2010,Jan,Bangalore,Royal Enfield,Activa 6G,917
2010,Jan,Bangalore,Royal Enfield,Pulsar 150,1517
2010,Jan,Bangalore,Royal Enfield,Apache RTR 160,1968
2010,Jan,Bangalore,Royal Enfield,Classic 350,1960
2010,Jan,Bangalore,Royal Enfield,Gixxer SF,1532
2010,Jan,Bangalore,Royal Enfield,FZ-S,1267
2010,Jan,Bangalore,Suzuki,Splendor Plus,1251
2010,Jan,Bangalore,Suzuki,Activa 6G,1338
2010,Jan,Bangalore,Suzuki,Pulsar 150,663
2010,Jan,Bangalore,Suzuki,Apache RTR 160,1677
2010,Jan,Bangalore,Suzuki,Classic 350,1485
2010,Jan,Bangalore,Suzuki,Gixxer SF,1864
2010,Jan,Bangalore,Suzuki,FZ-S,804
2010,Jan,Bangalore,Yamaha,Splendor Plus,639
2010,Jan,Bangalore,Yamaha,Activa 6G,1921
2010,Jan,Bangalore,Yamaha,Pulsar 150,1277
2010,Jan,Bangalore,Yamaha,Apache RTR 160,1152
2010,Jan,Bangalore,Yamaha,Classic 350,1200
2010,Jan,Bangalore,Yamaha,Gixxer SF,1365
2010,Jan,Bangalore,Yamaha,FZ-S,1327
2010,Jan,Chennai,Hero,Splendor Plus,1758
2010,Jan,Chennai,Hero,Activa 6G,1646
2010,Jan,Chennai,Hero,Pulsar 150,1758
2010,Jan,Chennai,Hero,Apache RTR 160,1371
2010,Jan,Chennai,Hero,Classic 350,799
2010,Jan,Chennai,Hero,Gixxer SF,1257
2010,Jan,Chennai,Hero,FZ-S,629
2010,Jan,Chennai,Honda,Splendor Plus,1344
2010,Jan,Chennai,Honda,Activa 6G,561
2010,Jan,Chennai,Honda,Pulsar 150,1256
2010,Jan,Chennai,Honda,Apache RTR 160,1342
2010,Jan,Chennai,Honda,Classic 350,880
2010,Jan,Chennai,Honda,Gixxer SF,1570
2010,Jan,Chennai,Honda,FZ-S,1599
2010,Jan,Chennai,Bajaj,Splendor Plus,1506
2010,Jan,Chennai,Bajaj,Activa 6G,1331
2010,Jan,Chennai,Bajaj,Pulsar 150,1514
2010,Jan,Chennai,Bajaj,Apache RTR 160,1746
2010,Jan,Chennai,Bajaj,Classic 350,1186
2010,Jan,Chennai,Bajaj,Gixxer SF,577
2010,Jan,Chennai,Bajaj,FZ-S,632
2010,Jan,Chennai,TVS,Splendor Plus,1813
2010,Jan,Chennai,TVS,Activa 6G,1645
2010,Jan,Chennai,TVS,Pulsar 150,1839
2010,Jan,Chennai,TVS,Apache RTR 160,1857
2010,Jan,Chennai,TVS,Classic 350,617
2010,Jan,Chennai,TVS,Gixxer SF,1582
2010,Jan,Chennai,TVS,FZ-S,1165
2010,Jan,Chennai,Royal Enfield,Splendor Plus,1072
2010,Jan,Chennai,Royal Enfield,Activa 6G,1995
2010,Jan,Chennai,Royal Enfield,Pulsar 150,1594
2010,Jan,Chennai,Royal Enfield,Apache RTR 160,1176
2010,Jan,Chennai,Royal Enfield,Classic 350,761
2010,Jan,Chennai,Royal Enfield,Gixxer SF,1743
2010,Jan,Chennai,Royal Enfield,FZ-S,986
2010,Jan,Chennai,Suzuki,Splendor Plus,1608
2010,Jan,Chennai,Suzuki,Activa 6G,1243
2010,Jan,Chennai,Suzuki,Pulsar 150,708
2010,Jan,Chennai,Suzuki,Apache RTR 160,1547
2010,Jan,Chennai,Suzuki,Classic 350,1920
2010,Jan,Chennai,Suzuki,Gixxer SF,1235
2010,Jan,Chennai,Suzuki,FZ-S,1985
2010,Jan,Chennai,Yamaha,Splendor Plus,582
2010,Jan,Chennai,Yamaha,Activa 6G,647
2010,Jan,Chennai,Yamaha,Pulsar 150,906
2010,Jan,Chennai,Yamaha,Apache RTR 160,797
2010,Jan,Chennai,Yamaha,Classic 350,1237
2010,Jan,Chennai,Yamaha,Gixxer SF,525
2010,Jan,Chennai,Yamaha,FZ-S,614
2010,Jan,Kolkata,Hero,Splendor Plus,1488
2010,Jan,Kolkata,Hero,Activa 6G,832
2010,Jan,Kolkata,Hero,Pulsar 150,1725
2010,Jan,Kolkata,Hero,Apache RTR 160,1634
2010,Jan,Kolkata,Hero,Classic 350,1072
2010,Jan,Kolkata,Hero,Gixxer SF,1376
2010,Jan,Kolkata,Hero,FZ-S,1723
2010,Jan,Kolkata,Honda,Splendor Plus,1769
2010,Jan,Kolkata,Honda,Activa 6G,1440
2010,Jan,Kolkata,Honda,Pulsar 150,1583
2010,Jan,Kolkata,Honda,Apache RTR 160,1441
2010,Jan,Kolkata,Honda,Classic 350,1972
2010,Jan,Kolkata,Honda,Gixxer SF,1064
2010,Jan,Kolkata,Honda,FZ-S,1278
2010,Jan,Kolkata,Bajaj,Splendor Plus,1249
2010,Jan,Kolkata,Bajaj,Activa 6G,539
2010,Jan,Kolkata,Bajaj,Pulsar 150,1485
2010,Jan,Kolkata,Bajaj,Apache RTR 160,678
2010,Jan,Kolkata,Bajaj,Classic 350,1782
2010,Jan,Kolkata,Bajaj,Gixxer SF,1392
2010,Jan,Kolkata,Bajaj,FZ-S,1136
2010,Jan,Kolkata,TVS,Splendor Plus,836
2010,Jan,Kolkata,TVS,Activa 6G,1259
2010,Jan,Kolkata,TVS,Pulsar 150,1031
2010,Jan,Kolkata,TVS,Apache RTR 160,747
2010,Jan,Kolkata,TVS,Classic 350,1230
2010,Jan,Kolkata,TVS,Gixxer SF,744
2010,Jan,Kolkata,TVS,FZ-S,1848
2010,Jan,Kolkata,Royal Enfield,Splendor Plus,1363
2010,Jan,Kolkata,Royal Enfield,Activa 6G,1779
2010,Jan,Kolkata,Royal Enfield,Pulsar 150,1334
2010,Jan,Kolkata,Royal Enfield,Apache RTR 160,1188
2010,Jan,Kolkata,Royal Enfield,Classic 350,960
2010,Jan,Kolkata,Royal Enfield,Gixxer SF,618
2010,Jan,Kolkata,Royal Enfield,FZ-S,1831
2010,Jan,Kolkata,Suzuki,Splendor Plus,1922
2010,Jan,Kolkata,Suzuki,Activa 6G,1283
2010,Jan,Kolkata,Suzuki,Pulsar 150,1200
2010,Jan,Kolkata,Suzuki,Apache RTR 160,1485
2010,Jan,Kolkata,Suzuki,Classic 350,1623
2010,Jan,Kolkata,Suzuki,Gixxer SF,701
2010,Jan,Kolkata,Suzuki,FZ-S,1851
2010,Jan,Kolkata,Yamaha,Splendor Plus,1092
2010,Jan,Kolkata,Yamaha,Activa 6G,1928
2010,Jan,Kolkata,Yamaha,Pulsar 150,1641
2010,Jan,Kolkata,Yamaha,Apache RTR 160,1963
2010,Jan,Kolkata,Yamaha,Classic 350,570
2010,Jan,Kolkata,Yamaha,Gixxer SF,513
2010,Jan,Kolkata,Yamaha,FZ-S,534
2010,Feb,Mumbai,Hero,Splendor Plus,974
2010,Feb,Mumbai,Hero,Activa 6G,1569
2010,Feb,Mumbai,Hero,Pulsar 150,650
2010,Feb,Mumbai,Hero,Apache RTR 160,1468
2010,Feb,Mumbai,Hero,Classic 350,1682
2010,Feb,Mumbai,Hero,Gixxer SF,1769
2010,Feb,Mumbai,Hero,FZ-S,962
2010,Feb,Mumbai,Honda,Splendor Plus,1777
2010,Feb,Mumbai,Honda,Activa 6G,1536
2010,Feb,Mumbai,Honda,Pulsar 150,1253
2010,Feb,Mumbai,Honda,Apache RTR 160,1362
2010,Feb,Mumbai,Honda,Classic 350,930
2010,Feb,Mumbai,Honda,Gixxer SF,1829
2010,Feb,Mumbai,Honda,FZ-S,502
2010,Feb,Mumbai,Bajaj,Splendor Plus,966
2010,Feb,Mumbai,Bajaj,Activa 6G,1713
2010,Feb,Mumbai,Bajaj,Pulsar 150,1904
2010,Feb,Mumbai,Bajaj,Apache RTR 160,1322
2010,Feb,Mumbai,Bajaj,Classic 350,1268
2010,Feb,Mumbai,Bajaj,Gixxer SF,825
2010,Feb,Mumbai,Bajaj,FZ-S,1567
2010,Feb,Mumbai,TVS,Splendor Plus,952
2010,Feb,Mumbai,TVS,Activa 6G,1981
2010,Feb,Mumbai,TVS,Pulsar 150,1541
2010,Feb,Mumbai,TVS,Apache RTR 160,1174
2010,Feb,Mumbai,TVS,Classic 350,1357
2010,Feb,Mumbai,TVS,Gixxer SF,1825
2010,Feb,Mumbai,TVS,FZ-S,1896
2010,Feb,Mumbai,Royal Enfield,Splendor Plus,1487
2010,Feb,Mumbai,Royal Enfield,Activa 6G,979
2010,Feb,Mumbai,Royal Enfield,Pulsar 150,1542
2010,Feb,Mumbai,Royal Enfield,Apache RTR 160,1798
2010,Feb,Mumbai,Royal Enfield,Classic 350,1803
2010,Feb,Mumbai,Royal Enfield,Gixxer SF,1002
2010,Feb,Mumbai,Royal Enfield,FZ-S,546
2010,Feb,Mumbai,Suzuki,Splendor Plus,1746
2010,Feb,Mumbai,Suzuki,Activa 6G,1437
2010,Feb,Mumbai,Suzuki,Pulsar 150,866
2010,Feb,Mumbai,Suzuki,Apache RTR 160,1388
2010,Feb,Mumbai,Suzuki,Classic 350,1484
2010,Feb,Mumbai,Suzuki,Gixxer SF,1641
2010,Feb,Mumbai,Suzuki,FZ-S,898
2010,Feb,Mumbai,Yamaha,Splendor Plus,1122
2010,Feb,Mumbai,Yamaha,Activa 6G,685
2010,Feb,Mumbai,Yamaha,Pulsar 150,1337
2010,Feb,Mumbai,Yamaha,Apache RTR 160,1383
2010,Feb,Mumbai,Yamaha,Classic 350,1400
2010,Feb,Mumbai,Yamaha,Gixxer SF,1879
2010,Feb,Mumbai,Yamaha,FZ-S,1154
2010,Feb,Delhi,Hero,Splendor Plus,1463
2010,Feb,Delhi,Hero,Activa 6G,993
2010,Feb,Delhi,Hero,Pulsar 150,1137
2010,Feb,Delhi,Hero,Apache RTR 160,1437
2010,Feb,Delhi,Hero,Classic 350,631
2010,Feb,Delhi,Hero,Gixxer SF,962
2010,Feb,Delhi,Hero,FZ-S,557
2010,Feb,Delhi,Honda,Splendor Plus,962
2010,Feb,Delhi,Honda,Activa 6G,1014
2010,Feb,Delhi,Honda,Pulsar 150,1443
2010,Feb,Delhi,Honda,Apache RTR 160,1834
2010,Feb,Delhi,Honda,Classic 350,1410
2010,Feb,Delhi,Honda,Gixxer SF,544
2010,Feb,Delhi,Honda,FZ-S,1164
2010,Feb,Delhi,Bajaj,Splendor Plus,1551
2010,Feb,Delhi,Bajaj,Activa 6G,1579
2010,Feb,Delhi,Bajaj,Pulsar 150,1920
2010,Feb,Delhi,Bajaj,Apache RTR 160,1095
2010,Feb,Delhi,Bajaj,Classic 350,1782
2010,Feb,Delhi,Bajaj,Gixxer SF,1538
2010,Feb,Delhi,Bajaj,FZ-S,1693
2010,Feb,Delhi,TVS,Splendor Plus,1129
2010,Feb,Delhi,TVS,Activa 6G,649
2010,Feb,Delhi,TVS,Pulsar 150,1945
2010,Feb,Delhi,TVS,Apache RTR 160,1908
2010,Feb,Delhi,TVS,Classic 350,837
2010,Feb,Delhi,TVS,Gixxer SF,849
2010,Feb,Delhi,TVS,FZ-S,1407
2010,Feb,Delhi,Royal Enfield,Splendor Plus,709
2010,Feb,Delhi,Royal Enfield,Activa 6G,1613
2010,Feb,Delhi,Royal Enfield,Pulsar 150,766
2010,Feb,Delhi,Royal Enfield,Apache RTR 160,1785
2010,Feb,Delhi,Royal Enfield,Classic 350,1129
2010,Feb,Delhi,Royal Enfield,Gixxer SF,1934
2010,Feb,Delhi,Royal Enfield,FZ-S,1347
2010,Feb,Delhi,Suzuki,Splendor Plus,1616
2010,Feb,Delhi,Suzuki,Activa 6G,1264
2010,Feb,Delhi,Suzuki,Pulsar 150,1024
2010,Feb,Delhi,Suzuki,Apache RTR 160,743
2010,Feb,Delhi,Suzuki,Classic 350,811
2010,Feb,Delhi,Suzuki,Gixxer SF,1137
2010,Feb,Delhi,Suzuki,FZ-S,707
2010,Feb,Delhi,Yamaha,Splendor Plus,1523
2010,Feb,Delhi,Yamaha,Activa 6G,1917
2010,Feb,Delhi,Yamaha,Pulsar 150,1748
2010,Feb,Delhi,Yamaha,Apache RTR 160,717
2010,Feb,Delhi,Yamaha,Classic 350,1907
2010,Feb,Delhi,Yamaha,Gixxer SF,1709
2010,Feb,Delhi,Yamaha,FZ-S,1994
2010,Feb,Bangalore,Hero,Splendor Plus,1625
2010,Feb,Bangalore,Hero,Activa 6G,1033
2010,Feb,Bangalore,Hero,Pulsar 150,1286
2010,Feb,Bangalore,Hero,Apache RTR 160,631
2010,Feb,Bangalore,Hero,Classic 350,594
2010,Feb,Bangalore,Hero,Gixxer SF,635
2010,Feb,Bangalore,Hero,FZ-S,507
2010,Feb,Bangalore,Honda,Splendor Plus,1514
2010,Feb,Bangalore,Honda,Activa 6G,1652
2010,Feb,Bangalore,Honda,Pulsar 150,942
2010,Feb,Bangalore,Honda,Apache RTR 160,1492
2010,Feb,Bangalore,Honda,Classic 350,1598
2010,Feb,Bangalore,Honda,Gixxer SF,1109
2010,Feb,Bangalore,Honda,FZ-S,607
2010,Feb,Bangalore,Bajaj,Splendor Plus,604
2010,Feb,Bangalore,Bajaj,Activa 6G,1425
2010,Feb,Bangalore,Bajaj,Pulsar 150,517
2010,Feb,Bangalore,Bajaj,Apache RTR 160,1136
2010,Feb,Bangalore,Bajaj,Classic 350,1304
2010,Feb,Bangalore,Bajaj,Gixxer SF,1953
2010,Feb,Bangalore,Bajaj,FZ-S,538
2010,Feb,Bangalore,TVS,Splendor Plus,593
2010,Feb,Bangalore,TVS,Activa 6G,684
2010,Feb,Bangalore,TVS,Pulsar 150,1646
2010,Feb,Bangalore,TVS,Apache RTR 160,991
2010,Feb,Bangalore,TVS,Classic 350,1515
2010,Feb,Bangalore,TVS,Gixxer SF,612
2010,Feb,Bangalore,TVS,FZ-S,1223
2010,Feb,Bangalore,Royal Enfield,Splendor Plus,583
2010,Feb,Bangalore,Royal Enfield,Activa 6G,1077
2010,Feb,Bangalore,Royal Enfield,Pulsar 150,1378
2010,Feb,Bangalore,Royal Enfield,Apache RTR 160,1393
2010,Feb,Bangalore,Royal Enfield,Classic 350,1066
2010,Feb,Bangalore,Royal Enfield,Gixxer SF,1620
2010,Feb,Bangalore,Royal Enfield,FZ-S,553
2010,Feb,Bangalore,Suzuki,Splendor Plus,573
2010,Feb,Bangalore,Suzuki,Activa 6G,976
2010,Feb,Bangalore,Suzuki,Pulsar 150,1525
2010,Feb,Bangalore,Suzuki,Apache RTR 160,1654
2010,Feb,Bangalore,Suzuki,Classic 350,991
2010,Feb,Bangalore,Suzuki,Gixxer SF,1119
2010,Feb,Bangalore,Suzuki,FZ-S,1870
2010,Feb,Bangalore,Yamaha,Splendor Plus,1922
2010,Feb,Bangalore,Yamaha,Activa 6G,520
2010,Feb,Bangalore,Yamaha,Pulsar 150,1901
2010,Feb,Bangalore,Yamaha,Apache RTR 160,1005
2010,Feb,Bangalore,Yamaha,Classic 350,1643
2010,Feb,Bangalore,Yamaha,Gixxer SF,1156
2010,Feb,Bangalore,Yamaha,FZ-S,846
2010,Feb,Chennai,Hero,Splendor Plus,1403
2010,Feb,Chennai,Hero,Activa 6G,1876
2010,Feb,Chennai,Hero,Pulsar 150,1415
2010,Feb,Chennai,Hero,Apache RTR 160,752
2010,Feb,Chennai,Hero,Classic 350,1955
2010,Feb,Chennai,Hero,Gixxer SF,1863
2010,Feb,Chennai,Hero,FZ-S,979
2010,Feb,Chennai,Honda,Splendor Plus,841
2010,Feb,Chennai,Honda,Activa 6G,1631
2010,Feb,Chennai,Honda,Pulsar 150,1247
2010,Feb,Chennai,Honda,Apache RTR 160,1648
2010,Feb,Chennai,Honda,Classic 350,1289
2010,Feb,Chennai,Honda,Gixxer SF,1127
2010,Feb,Chennai,Honda,FZ-S,862
2010,Feb,Chennai,Bajaj,Splendor Plus,1701
2010,Feb,Chennai,Bajaj,Activa 6G,838
2010,Feb,Chennai,Bajaj,Pulsar 150,1343
2010,Feb,Chennai,Bajaj,Apache RTR 160,1778
2010,Feb,Chennai,Bajaj,Classic 350,985
2010,Feb,Chennai,Bajaj,Gixxer SF,1519
2010,Feb,Chennai,Bajaj,FZ-S,902
2010,Feb,Chennai,TVS,Splendor Plus,1883
2010,Feb,Chennai,TVS,Activa 6G,1117
2010,Feb,Chennai,TVS,Pulsar 150,713
2010,Feb,Chennai,TVS,Apache RTR 160,855
2010,Feb,Chennai,TVS,Classic 350,1622
2010,Feb,Chennai,TVS,Gixxer SF,908
2010,Feb,Chennai,TVS,FZ-S,644
2010,Feb,Chennai,Royal Enfield,Splendor Plus,1190
2010,Feb,Chennai,Royal Enfield,Activa 6G,1130
2010,Feb,Chennai,Royal Enfield,Pulsar 150,1376
2010,Feb,Chennai,Royal Enfield,Apache RTR 160,1673
2010,Feb,Chennai,Royal Enfield,Classic 350,1121
2010,Feb,Chennai,Royal Enfield,Gixxer SF,1306
2010,Feb,Chennai,Royal Enfield,FZ-S,779
2010,Feb,Chennai,Suzuki,Splendor Plus,1302
2010,Feb,Chennai,Suzuki,Activa 6G,528
2010,Feb,Chennai,Suzuki,Pulsar 150,714
2010,Feb,Chennai,Suzuki,Apache RTR 160,1663
2010,Feb,Chennai,Suzuki,Classic 350,1782
2010,Feb,Chennai,Suzuki,Gixxer SF,974
2010,Feb,Chennai,Suzuki,FZ-S,852
2010,Feb,Chennai,Yamaha,Splendor Plus,659
2010,Feb,Chennai,Yamaha,Activa 6G,877
2010,Feb,Chennai,Yamaha,Pulsar 150,1423
2010,Feb,Chennai,Yamaha,Apache RTR 160,1597
2010,Feb,Chennai,Yamaha,Classic 350,863
2010,Feb,Chennai,Yamaha,Gixxer SF,1791
2010,Feb,Chennai,Yamaha,FZ-S,1383
2010,Feb,Kolkata,Hero,Splendor Plus,631
2010,Feb,Kolkata,Hero,Activa 6G,1127
2010,Feb,Kolkata,Hero,Pulsar 150,775
2010,Feb,Kolkata,Hero,Apache RTR 160,1668
2010,Feb,Kolkata,Hero,Classic 350,627
2010,Feb,Kolkata,Hero,Gixxer SF,1575
2010,Feb,Kolkata,Hero,FZ-S,1231
2010,Feb,Kolkata,Honda,Splendor Plus,1163
2010,Feb,Kolkata,Honda,Activa 6G,1461
2010,Feb,Kolkata,Honda,Pulsar 150,1975
2010,Feb,Kolkata,Honda,Apache RTR 160,1198
2010,Feb,Kolkata,Honda,Classic 350,1140
2010,Feb,Kolkata,Honda,Gixxer SF,684
2010,Feb,Kolkata,Honda,FZ-S,1285
2010,Feb,Kolkata,Bajaj,Splendor Plus,1799
2010,Feb,Kolkata,Bajaj,Activa 6G,918
2010,Feb,Kolkata,Bajaj,Pulsar 150,1100
2010,Feb,Kolkata,Bajaj,Apache RTR 160,803
2010,Feb,Kolkata,Bajaj,Classic 350,1033
2010,Feb,Kolkata,Bajaj,Gixxer SF,1473
2010,Feb,Kolkata,Bajaj,FZ-S,691
2010,Feb,Kolkata,TVS,Splendor Plus,691
2010,Feb,Kolkata,TVS,Activa 6G,1683
2010,Feb,Kolkata,TVS,Pulsar 150,1453
2010,Feb,Kolkata,TVS,Apache RTR 160,1942
2010,Feb,Kolkata,TVS,Classic 350,1183
2010,Feb,Kolkata,TVS,Gixxer SF,1183
2010,Feb,Kolkata,TVS,FZ-S,845
2010,Feb,Kolkata,Royal Enfield,Splendor Plus,1664
2010,Feb,Kolkata,Royal Enfield,Activa 6G,1468
2010,Feb,Kolkata,Royal Enfield,Pulsar 150,1927
2010,Feb,Kolkata,Royal Enfield,Apache RTR 160,1260
2010,Feb,Kolkata,Royal Enfield,Classic 350,547
2010,Feb,Kolkata,Royal Enfield,Gixxer SF,1195
2010,Feb,Kolkata,Royal Enfield,FZ-S,1935
2010,Feb,Kolkata,Suzuki,Splendor Plus,1213
2010,Feb,Kolkata,Suzuki,Activa 6G,681
2010,Feb,Kolkata,Suzuki,Pulsar 150,1796
2010,Feb,Kolkata,Suzuki,Apache RTR 160,969
2010,Feb,Kolkata,Suzuki,Classic 350,1328
2010,Feb,Kolkata,Suzuki,Gixxer SF,1905
2010,Feb,Kolkata,Suzuki,FZ-S,1003
2010,Feb,Kolkata,Yamaha,Splendor Plus,1034
2010,Feb,Kolkata,Yamaha,Activa 6G,956
2010,Feb,Kolkata,Yamaha,Pulsar 150,1964
2010,Feb,Kolkata,Yamaha,Apache RTR 160,1194
2010,Feb,Kolkata,Yamaha,Classic 350,976
2010,Feb,Kolkata,Yamaha,Gixxer SF,1936
2010,Feb,Kolkata,Yamaha,FZ-S,1067
2010,Mar,Mumbai,Hero,Splendor Plus,1119
2010,Mar,Mumbai,Hero,Activa 6G,1333
2010,Mar,Mumbai,Hero,Pulsar 150,1945
2010,Mar,Mumbai,Hero,Apache RTR 160,1150
2010,Mar,Mumbai,Hero,Classic 350,987
